Cloud,ServiceType,service,Description,used for,command
GCP,Compute,ComputeEngine,,,
GCP,Compute,KubernetesEngine,,,
GCP,Compute,AppEngine,,,
GCP,Compute,CloudFunctions,,,
GCP,Management,Cloud Console,,,
GCP,Management,Stack Driver,,,
GCP,Management,Trace,,,
GCP,Management,Logging,,,
GCP,Management,Debugger,,,
GCP,Management,Monitoring,,,
GCP,Networking,CloudLoadBalancing,,,
GCP,Networking,Cloud CDN,,,
GCP,Networking,Cloud DNS,,,
GCP,Networking,Firewall Rules,,,
GCP,Networking,Cloud Interconnect,,,
GCP,Networking,Clou VPN,,,
GCP,Storage_Databases,Cloud BigTable,,,
GCP,Storage_Databases,Cloud DataStore,,,
GCP,Storage_Databases,Cloud Spanner,,,
GCP,Storage_Databases,Cloud SQL,,,
GCP,Storage_Databases,Cloud Storage,,,
GCP,BigData,BigQuery,,,
GCP,BigData,Cloud DataFlow,,,
GCP,BigData,Cloud Datarep,,,
GCP,BigData,CloudDataProc,,,
GCP,BigData,Cloud IOT core,,,
GCP,BigData,Cloud Pub/Sub,,,
GCP,Identity_Security,Cloud IAM,,,
GCP,Identity_Security,Cloud End points,,,
GCP,Identity_Security,VPC,,,
GCP,Identity_Security,Identiry Aware Proxy,,,
GCP,Identity_Security,KMS,,,
GCP,Identity_Security,DataLoss Prevention,,,
GCP,MachineLearning,Cloud ML,,,
GCP,MachineLearning,NaturalLanguageAPI,,,
GCP,MachineLearning,CloudSpeechAPI,,,
GCP,MachineLearning,CloudVisionAPI,,,
GCP,MachineLearning,CloudTranslateAPI,,,
